target_id	length	eff_length	est_counts	tpm
ENSRNOT00000080234_34129	50	1.52009	2	0.914777
ENSRNOT00000059468_34130	50	1.52009	406	185.7
ENSRNOT00000060258_34131	50	1.52009	163	74.5543
ENSRNOT00000075229_34132	50	1.52009	0	0
ENSRNOT00000010059_34133	50	1.52009	5	2.28694
ENSRNOT00000084433_34134	50	1.52009	0	0
ENSRNOT00000035838_34135	50	1.52009	72	32.932
ENSRNOT00000026586_34136	50	1.52009	0	0
ENSRNOT00000018741_34137	50	1.52009	0	0
ENSRNOT00000081937_34138	50	1.52009	4	1.82955
ENSRNOT00000025355_34139	50	1.52009	0	0
ENSRNOT00000007971_34140	50	1.52009	0	0
ENSRNOT00000077412_34141	50	1.52009	0	0
ENSRNOT00000060648_34142	50	1.52009	0	0
ENSRNOT00000024885_34143	50	1.52009	10	4.57388
ENSRNOT00000080807_34144	50	1.52009	0	0
ENSRNOT00000005244_34145	50	1.52009	0	0
ENSRNOT00000090548_34146	50	1.52009	0	0
ENSRNOT00000020405_34147	50	1.52009	21	9.60516
ENSRNOT00000071580_34148	50	1.52009	35	16.0086
ENSRNOT00000072754_34149	50	1.52009	1	0.457388
ENSRNOT00000016567_34150	50	1.52009	8	3.65911
ENSRNOT00000044659_34151	50	1.52009	1	0.457388
ENSRNOT00000065168_34152	50	1.52009	0	0
ENSRNOT00000068267_34153	50	1.52009	1	0.457388
ENSRNOT00000072397_34154	50	1.52009	0	0
ENSRNOT00000071387_34155	50	1.52009	0	0
ENSRNOT00000010824_34156	50	1.52009	86	39.3354
ENSRNOT00000087336_34157	50	1.52009	0	0
ENSRNOT00000048027_34158	50	1.52009	44	20.1251
ENSRNOT00000041259_34159	50	1.52009	0	0
ENSRNOT00000013956_34160	50	1.52009	56	25.6137
ENSRNOT00000030148_34161	50	1.52009	0	0
ENSRNOT00000074809_34162	50	1.52009	1	0.457388
ENSRNOT00000024218_34163	50	1.52009	90	41.165
ENSRNOT00000010158_34164	50	1.52009	0	0
ENSRNOT00000038924_34165	50	1.52009	0	0
ENSRNOT00000001327_34166	50	1.52009	8	3.65911
ENSRNOT00000008164_34167	50	1.52009	145	66.3213
ENSRNOT00000007602_34168	50	1.52009	0	0
ENSRNOT00000022633_34169	50	1.52009	0	0
ENSRNOT00000010561_34170	50	1.52009	0	0
ENSRNOT00000019447_34171	50	1.52009	5	2.28694
ENSRNOT00000090552_34172	50	1.52009	226	103.37
ENSRNOT00000083110_34173	50	1.52009	121	55.344
ENSRNOT00000064950_34174	50	1.52009	0	0
ENSRNOT00000003922_34175	50	1.52009	11	5.03127
ENSRNOT00000004948_34176	50	1.52009	24	10.9773
ENSRNOT00000018351_34177	50	1.52009	0	0
ENSRNOT00000004589_34178	50	1.52009	0	0
ENSRNOT00000050034_34179	50	1.52009	0	0
ENSRNOT00000083374_34180	50	1.52009	0	0
ENSRNOT00000092660_34181	50	1.52009	0	0
ENSRNOT00000023037_34182	50	1.52009	90	41.165
ENSRNOT00000001238_34183	50	1.52009	0	0
ENSRNOT00000063772_34184	50	1.52009	97	44.3667
ENSRNOT00000010045_34185	50	1.52009	0	0
ENSRNOT00000091674_34186	50	1.52009	0	0
ENSRNOT00000093357_34187	50	1.52009	0	0
ENSRNOT00000006646_34188	50	1.52009	0	0
ENSRNOT00000065546_34189	50	1.52009	3	1.37217
ENSRNOT00000023874_34190	50	1.52009	0	0
ENSRNOT00000041134_34191	50	1.52009	0	0
ENSRNOT00000055988_34192	50	1.52009	33	15.0938
ENSRNOT00000091977_34193	50	1.52009	0	0
ENSRNOT00000075648_34194	50	1.52009	0	0
